"","ID","Mother_Age","Sex_C","Child_Age","Education_Years_1","Income","Home_2","Home_3","Raven","mean_RT","RT.diff.DD","RT.diff.PES"
"1",201,36.2905624635587,"Male",4.7423078434355,24,2,5,1,22,627.366242038217,107.584476756093,158.934285714286
"2",202,37.8796188873679,"Female",4.55449910639592,22,4,5,2,19,636.390625,25.4665701500395,245.844363304427
"3",203,32.8233095355794,"Female",6.46328215707151,18,3,5,2,14,486.839464882943,37.3923914710845,114.617843246248
"4",204,37.3831037848252,"Male",2.95736798742617,18,3,4,2,23,559.271523178808,-0.463505883953417,105.950834064969
"5",205,33.8213169252415,"Male",5.01365094303749,16,2,6,2,29,616.891719745223,-11.3874575223973,71.7352380952381
"6",206,28.4108003143458,"Female",4.3396161938804,12,1,3,2,18,696.914965986395,56.2474358974358,135.645897215749
"7",207,34.5129845425508,"Male",4.1365300593201,24,2,4,2,19,746.119047619048,27.4083682008368,138.672862453532
"8",208,40.2878270527543,"Male",4.2686620972444,22,4,4,2,15,564.948339483395,-42.8930186823992,1.98133848133841
"9",209,36.9150311810784,"Male",4.3510339189292,15,1,3,0,16,487.866242038217,26.8960573476703,85.7991079393399
"10",210,41.3589054300707,"Male",4.6142100159708,18,2,4,2,12,816.51012145749,31.5905256327061,88.7624975685663
"11",211,36.1414645600426,"Male",4.10039679823561,25,4,6,2,27,669.189591078067,59.0765685926976,77.5114942528735
"12",212,37.8249370674576,"Female",4.36292474712906,23,3,4,2,20,727.364372469636,-4.78365508365505,41.8623762376238
"13",213,35.7988424658402,"Female",4.27522850280123,20,5,6,1,22,704.619863013699,12.7808723843207,47.812030075188
"14",214,30.2785686173854,"Male",4.56741187542779,16,2,4,2,17,583.927586206897,48.0544602456367,93.4999410446881
"15",215,41.1920316817502,"Female",4.91003305067559,17,1,3,1,18,675.085245901639,56.6685634174501,150.085997937081
"16",216,37.0081896912313,"Female",4.47978448931478,17,3,5,1,16,568.801302931596,99.9205170108454,7.01780986762935
"17",217,31.1795440084164,"Male",4.31848993586331,16,2,4,1,27,793.403225806452,-1.95108302060703,165.419605715319
"18",218,41.7768388280478,"Female",4.16972041600122,18,4,6,2,11,871.307443365696,108.782390837509,227.268518518518
"19",219,31.0567611922326,"Male",4.87743196567546,13,2,4,2,14,727.013698630137,-89.6783486783487,76.6612987012987
"20",220,34.3849083897381,"Male",5.21584610363272,15,3,4,2,19,743.268292682927,16.3062770562771,198.545112781955
"21",221,41.1828812393845,"Male",4.6462624851066,16,4,5,2,13,906.802120141343,145.655107187894,221.213594470046
"22",222,39.4961740753416,"Male",4.74737188506097,12,3,3,0,9,889.293172690763,27.3868759216347,233.217840982547
"23",223,48.4501741894187,"Female",5.09904482596902,12,2,4,2,12,696.185897435897,-7.95500515995866,117.031108426457
"24",224,34.9846783342206,"Female",4.58084534311861,19,4,5,1,15,615.266917293233,11.0737246680643,63.5356376369592
"25",225,33.0955752655462,"Female",5.08188601161052,17,4,5,2,21,633.324528301887,75.0097508125677,111.937651625425
"26",226,28.3327374705301,"Female",4.38201878469846,12,3,4,2,12,836.422077922078,123.245271317829,243.981451172941
"27",227,30.2728004664487,"Female",4.3070236012878,7,1,3,0,3,920.134453781513,-26.8758200562324,218.929263673833
"28",228,34.4296401500748,"Male",4.70753200496869,18,3,5,1,18,559.297577854671,23.2688460964323,13.7672807663965
"29",229,40.4638287132101,"Male",5.10448579739904,20,3,5,2,18,587.899082568807,22.3046783625731,-27.1421067989495
"30",230,39.6292844512891,"Male",4.95714208304814,15,1,3,1,17,494.164473684211,24.0992125984251,4.07626128518319
"31",231,32.3794004296905,"Male",4.44510884858164,15,4,4,1,25,553.776025236593,-9.98596181613993,220.298717948718
"32",232,30.2397212082034,"Male",4.49297240601313,16,3,4,1,21,846.436241610738,-5.19461697722556,261.283371040724
"33",233,40.2441287043375,"Male",4.73420399523411,15,1,3,1,1,775.343234323432,6.54049736037791,159.756227758007
"34",234,37.6854528227749,"Male",4.76827280908561,14,4,4,1,20,587.279310344828,6.49855072463765,157.291
"35",235,34.6790165285066,"Female",5.18141214794534,18,2,3,0,12,555.007042253521,-9.36742424242425,42.2962005314947
"36",236,33.7194170025604,"Male",4.12872569523665,16,4,3,1,14,819.686411149826,44.2049753616277,212.317123489537
"37",237,34.2079302608563,"Male",5.01422731766674,16,3,4,1,16,591.14696485623,35.8086658086659,167.316862361383
"38",238,33.2072298907395,"Female",5.01284248485309,18,3,4,1,24,571.851485148515,52.7425925925926,104.881342250923
"39",239,34.9553733173625,"Male",5.01697496007301,16,3,5,2,13,759.161403508772,2.49040338321402,310.991883116883
"40",240,34.0710478616878,"Female",4.98412109919639,20,4,4,2,21,626.983922829582,90.9457282913165,142.734322033898
"41",241,32.5124677098385,"Male",4.73423362359622,17,4,4,2,23,715.107382550336,-17.525826446281,270.871889140271
"42",242,30.1689778690395,"Female",4.74529545973078,17,3,4,2,23,500.032679738562,4.09671874999998,37.3330013693514
"43",243,30.802516224301,"Male",5.1680193043831,12,4,4,1,6,683.135964912281,53.8271889400921,184.76202247191
"44",244,34.1880263074505,"Male",4.45770460998301,18,3,5,1,5,615.266917293233,11.0737246680643,63.5356376369592
"45",245,32.228182719852,"Male",4.4280458273126,15,3,4,2,14,720.023102310231,142.78976402084,148.108997500694
"46",246,37.6684019697315,"Male",5.37818978629554,18,4,6,2,21,793.558620689655,40.7141330891332,484.72037037037
"47",247,34.8100480391411,"Male",5.54789882627323,15,3,5,2,17,764.871794871795,111.801461988304,201.564102564103
"48",248,36.4683102010292,"Female",4.6873382639998,17,4,4,2,24,593.944078947368,68.6044330775788,122.676501035197
"49",249,34.0682742033615,"Male",4.21474922047304,19,5,8,1,14,614.121794871795,69.6787252368648,-11.3627884143348
"50",250,35.9547775813116,"Female",4.96778237255051,21,3,5,2,16,961.97,31.9923215898825,188.901459854015
"51",251,32.2685714376252,"Female",4.80792804269019,18,4,5,1,21,775.709150326797,139.838624338624,-14.1506284367636
"52",252,37.7256490671027,"Female",5.15617610337922,17,4,5,2,10,891.405511811024,-6.35648148148152,162.745345943255
"53",253,33.2199852967273,"Female",4.70253149795929,16,3,4,1,26,557.522580645161,-11.600991114149,71.3109217171717
"54",254,32.7154094734707,"Male",4.31294540776231,18,3,4,1,18,689.794520547945,12.7154963680388,154.765047583735
"55",255,33.4246049129211,"Female",5.22200395467336,16,3,5,2,14,847.286821705426,-39.2875816993464,277.080619747899
"56",256,38.2165995196086,"Male",5.21728398230537,19,4,4,1,11,742.585551330798,21.0907000510986,152.111456589333
"57",257,33.907219243542,"Male",5.51570658098208,17,4,5,2,27,602.297124600639,92.4771467207573,378.722591362126
"58",258,35.8203392526681,"Male",5.10439127183309,15,3,6,2,26,567.281456953642,74.2118176538909,88.8626373626374
"59",259,31.4372993193399,"Female",4.91026304281694,16,4,5,2,14,1073.36274509804,54.7440559440558,120.717507353742
"60",260,41.6900104887571,"Male",4.26632807944837,21,2,4,1,23,666.325174825175,30.8824534161491,177.286099865047
"61",261,51.11091077902,"Female",4.27175951276396,20,3,4,1,20,702.855769230769,40.7481074562872,235.148374348841
"62",262,38.5629089981494,"Female",4.09062973736913,12,3,5,2,12,747.454248366013,15.5901500739801,-15.1614035087719
"63",263,37.3227715352245,"Male",4.32619384870839,18,4,5,2,33,507.375862068965,-6.82758620689657,79.7759259259259
"64",264,35.2803505970036,"Male",4.53976195908434,18,3,5,1,15,850.993288590604,23.5687675070028,49.9278652906029
"65",265,30.7685745113697,"Male",4.05536438132177,16,4,4,1,29,665.990099009901,25.578536242083,117.315619967794
"66",266,40.2556074289553,"Male",3.8285027061627,20,4,3,2,22,813.964539007092,38.146485867074,97.5744680851064
"67",267,32.5678365591807,"Male",3.6150644852587,18,2,3,1,19,933.132231404959,-10.1457121708787,193.267559523809
"68",268,36.6445850761782,"Female",4.41460561005907,18,2,2,1,12,764.049019607843,20.6800267648043,100.605734767025
"69",269,33.9794073060055,"Male",4.04648465029026,16,3,5,3,21,591.807142857143,-17.0269905533063,141.7125
"70",270,36.4524934088777,"Male",4.58938594823434,16,3,5,2,30,586.828125,8.57001842590148,126.050375133976
"71",271,32.8961563933886,"Male",4.14872312850153,17,4,5,1,16,513.155172413793,3.29096045197741,126.383753501401
"72",272,37.4129574175476,"Male",3.89618808147641,14,1,4,0,12,775.746606334842,-10.4992809893586,107.30875519687
"73",273,41.9673324650797,"Male",4.33831124673613,17,4,6,1,25,739.848605577689,43.0637298747764,256.274700854701
"74",274,51.49724380181,"Female",4.6717817894897,18,2,4,1,17,687.301038062284,20.6688422688422,72.7962962962963
"75",275,39.2282344664994,"Female",3.97566773138642,23,4,5,2,27,634.428044280443,57.2189399696048,166.734503631961
"76",276,29.0796945268335,"Male",4.01193271985195,12,2,4,1,18,644.912457912458,100.098412698413,202.333333333333
"77",277,33.9791849506933,"Male",4.44051280832509,23,4,4,2,17,776.590106007067,10.8177209443099,118.244220509781
"78",278,35.2554168567952,"Female",3.59764820518671,15,2,7,2,16,493.224025974026,53.9307692307692,80.0662835249042
"79",279,37.9645777562299,"Female",4.10557707176718,30,3,0,1,16,741.464516129032,52.8415324985093,54.961066505075
"80",280,35.1376687073795,"Female",4.2273333206581,18,4,2,1,17,687.784565916399,14.5524948024948,84.2878489326765
"81",281,32.9607010038786,"Male",3.74235740360484,17,4,4,1,16,769.660194174757,141.685590515276,105.063157894737
"82",282,38.5339388926915,"Female",4.09725169214389,20,4,6,2,21,690.534653465347,94.0387488328665,107.823913043478
"83",283,37.0797851230765,"Male",4.8552813585317,NA,NA,5,0,2,691.869731800766,73.9951690821256,223.367239635996
"84",284,41.3257865617157,"Female",4.99450661647274,20,1,4,1,17,713.011235955056,45.6168253968254,98.8677214004867
"85",285,39.7714557824423,"Female",4.4230642697797,17,2,3,NA,7,799.895973154362,65.6462380300958,207.318511198946
"86",286,44.605470568104,"Female",4.17836584531143,15,4,5,2,18,863.246913580247,97.4253731343284,170.392999135696
"87",287,39.997321722818,"Male",4.22730118893706,17,3,5,1,21,638.37417218543,55.8865651284383,136.876266167991
"88",288,42.8621144193475,"Male",5.66019792379649,18,2,5,2,18,779.277153558052,72.1128548756833,72.781862745098
"89",289,34.1224148857961,"Male",5.48723350318148,18,4,4,2,29,611.676190476191,-28.5073529411765,173.511448874852
"90",290,30.410260888027,"Female",4.5622116067128,NA,NA,6,NA,9,804.616740088106,22.6798941798942,130.748018256065
"91",291,32.8855878774051,"Male",4.70762757624154,16,4,7,2,18,641.360128617363,89.7922585227273,72.5660020191822
"92",292,38.4530171495931,"Male",4.94172351509621,20,4,5,2,16,676.214743589744,108.85,123.122461260719
"93",293,38.5958229079524,"Male",4.09616513930083,16,4,6,2,25,710.83922829582,90.591164453524,151.048787878788
"94",294,40.4440379813421,"Female",4.63842538722843,18,4,5,0,14,623.584967320261,25.0370370370371,138.763049853372
